,url,source,title,author,text
0,http://dcgazette.com/2017/alert-chinese-military-makes-demands-pull-back-else/,thedcgazette,ALERT- Chinese Military Makes Demands,[],"China tells India not ‘to push your luck’ and pull back troops from Doklam plateau amid rising tension.

China has demanded that India pull back its troops from a contested region high in the Himalayas, warning New Delhi not “to push your luck” amid a festering border dispute.

According to Indian officials, about 300 soldiers from either side face each other about 150 metres apart on the Doklam plateau, an area also claimed by India’s ally Bhutan.

What do you think India Should do?

(comment below)



The stand-off began in June when Chinese troops started building a road onto the plateau towards India’s border.

Bhutan sought help from India, which sent troops across the border from the northeastern state of Sikkim.

Comments"
0,http://dcgazette.com/2017/alert-chinese-military-makes-demands-pull-back-else/feed/,thedcgazette,Comments on: ALERT- Chinese Military Makes Demands – Pull Back OR ELSE!…,[],
0,http://dcgazette.com/2016/pope-absolution-abortion/,thedcgazette,"Pope Changes Paperwork Procedure On Confessing Abortion, MSM Misses The Point ⋆ Dc Gazette","['A Resident Of Flyover Country', 'Cultural Limits Is A Rare Creature In American Conservatism - Committed To Not Just Small Government', 'Christianity', 'Traditional Social Roles', 'But Non-Profits', 'High Arts', 'Culture. Watching Politics', 'Observing Human Behavior', 'Writing Are All Long-Time Interests.', 'In Her Other Life']","One thing is assured any time the pope – any pope – talks about a “controversial” topic. People will listen. Even people who have eschewed the Catholic Church and all she stands for if for no other reason to ridicule and lecture Catholics. Well, Pope Francis made a change, again, in the absolution procedures for the sin of procuring, assisting in or causing an abortion, and all hell has broken loose. Unlike earlier in the year when a procedural convenience was made permanent, this change actually is a change.

Allow me to explain.

In the full list of sins for Catholics, abortion is one of a handful that are so heinous, they are in a category that automatically incurs what is called latae sententiae excommunication. That means that “by the act” the human puts himself or herself OUTSIDE of the Christian Community. This is not a formal bull of excommunication that is posted for heresy (teaching or espousing that which is against the Church in one way or another), but a very personal sort of separation. However, in order to have the excommunication lifted – this is a spiritual remedy, not a punishment – which would allow for absolution (it is not granted if one is excommunicated), there is some administrative paperwork that needs to happen.

Earlier in his pontificate, Pope Francis officially transferred the paperwork procedure to the parishes for abortion, rather than sending it through the bishops’ offices, a practice that had been in place in the United States and other western nations infested with modernism for decades. It just made things smoother. With Monday’s move, Canon Law actually will have to be changed as the formal procedure of lifting the excommunication has been dropped.

“I wish to restate as firmly as I can that abortion is a grave sin, since it puts an end to an innocent life,” the pope wrote. “In the same way, however, I can and must state that there is no sin that God’s mercy cannot reach and wipe away when it finds a repentant heart seeking to be reconciled with the Father.” Speaking to reporters during a Vatican news conference Nov. 21, Archbishop Rino Fisichella said procuring an abortion still results in automatic excommunication the very moment the procedure is carried out. Sacramental absolution, therefore, is not just forgiving the sin of abortion, but also means “the excommunication is removed,” he said. Now that all priests have been given the faculty to lift the excommunication and grant absolution, the Code of Canon Law will have to be updated, said the archbishop, who is president of the Pontifical Council for Promoting New Evangelization, the office that organized events for the Year of Mercy.

Pope Francis, truly, has picked up the baton of a number of late 19th century and 20th century figures in Catholicism when it comes to his message on God’s mercy. The main proponent of the message was Pope Saint John Paul II, along with a Polish nun known to him during his life who was canonized during his pontificate. Her name is St. Faustina, the Divine Mercy image to the left is taken from an entry in her papers, and her diary speaks of Divine Mercy in terms many never considered before. (It’s a tough, but good read.) By declaring the just completed Year of Mercy, Pope Francis reminds the flock that returning to God is always possible, yes, even for those who are involved with abortion. The Church is a hospital for sinners, not an exclusive club.

In Catholicism, though, there is a catch to receiving absolution no matter what your sins. Confession must be

made, and the Penance (the real name of the Sacrament) must be carried out with a contrite heart. We are supposed to be sorry for our sins. That’s something a lot of us need to work on.

Comments"
0,http://dcgazette.com/2016/pope-absolution-abortion/feed/,thedcgazette,"Comments on: Pope Changes Paperwork Procedure On Confessing Abortion, MSM Misses The Point",[],
0,http://dcgazette.com/2016/saudi-arabia-double-dog-dare-trump/,thedcgazette,Saudi Arabia's Double Dog Dare To Donald Trump ⋆ Dc Gazette,"['A Resident Of Flyover Country', 'Cultural Limits Is A Rare Creature In American Conservatism - Committed To Not Just Small Government', 'Christianity', 'Traditional Social Roles', 'But Non-Profits', 'High Arts', 'Culture. Watching Politics', 'Observing Human Behavior', 'Writing Are All Long-Time Interests.', 'In Her Other Life']","Now that Donald Trump is President-elect, not just an American billionaire shooting his mouth off on the campaign trail, all of the various sectors of the world’s economy are starting to actually respond to what he had to say. Take Saudi Arabia, for example. When it looked like Hillary Clinton would win the White House, they didn’t say much as Donald Trump talked about the United States being energy independent. Now that the preferred scenario for yhe Saudis did not pan out, they are facing the prospect that one of their two industries might well dry up.

Saudi energy minister Khalid al-Falih warned this week that banning oil from his kingdom could backfire. “At his heart, President-elect Trump will see the benefits and I think the oil industry will also be advising him accordingly that blocking trade in any product is not healthy,” Falih told the Financial Times. The powerful Saudi minister added that “energy is the lifeblood of the global economy” and the U.S. “benefits more than anybody else from global free trade.”

Just to interpret for Americans who do not believe in nuance, that’s a threat and a dare all rolled into one. Buy oil from us, or else. After all, the sale of oil is bankrolling Saudi Arabia’s OTHER industry: exporting and setting up Islam in nations where Christianity no longer carries zeal.

Don’t know if the Saudis have been paying attention, but the world’s largest oil reserve was discovered in western Texas. The announcement was made this week. With modern technology, shipping oil across oceans just might not be needed anymore.

Given the events of the last week as President-elect Trump has begun putting together his transition team and interviewing for the Cabinet, his modus operandi has begun to take shape. He chooses his advisers carefully. Those who he considers to be part of the problem are not consulted. That universe may well include the lobbyists for OPEC, the cartel that controls oil output from almost all producers.

At this time, the United States does import oil from around the world. The largest supplier is actually Canada. Saudi Arabia is second with over a million barrels imported daily.

Yes, oil is the lifeblood of the world economy. However, the United States, technically, not only has the largest market for oil, but the largest reserves. In a right side up economic situation, this should greatly benefit us. President-elect Trump understands this, and aims to make that concept a reality.

DRILL BABY DRILL









WebPage Visits



Comments"
0,http://dcgazette.com/2016/saudi-arabia-double-dog-dare-trump/feed/,thedcgazette,Comments on: Saudi Arabia’s Double Dog Dare To Donald Trump,[],
0,http://dcgazette.com/2016/media-crying-trump-behavior/,thedcgazette,Trump's Latest Move Has Media Pool Pouting ⋆ Dc Gazette,"['A Resident Of Flyover Country', 'Cultural Limits Is A Rare Creature In American Conservatism - Committed To Not Just Small Government', 'Christianity', 'Traditional Social Roles', 'But Non-Profits', 'High Arts', 'Culture. Watching Politics', 'Observing Human Behavior', 'Writing Are All Long-Time Interests.', 'In Her Other Life']","Every new leader has his or her own style. Some are open and gregarious. Some are micromanagers. Some are dictators. Donald Trump appears to be private. At least about some things. And to the mainstream media posse that follows around the president-elect, and/or the president himself, that privacy is a barrier to them doing their jobs. Supposedly.

See, on Tuesday evening, the Trump media pool was told the day was done. Nothing else would be happening at Trump Tower. Then, later on in the evening, a reporter at Bloomberg posted this on Twitter:

Trump and the family went to the 21 Club in New York City for dinner – and they ditched the press.

Most Americans would be chuckling under their breaths at giving the media the slip. Really, does every detail of the man’s life HAVE to be broadcast to the world? According to the people who follow the president around, yes. However, Donald Trump has other ideas and the press is not amused by them. On the campaign trail, they were not permitted on his plane, and routinely Trump has decried the way in which facts and events were reported. This is setting up a contentious relationship that will undoubtedly continue when the man moves into the White House.

With his Tuesday night actions, the Trump Administration is shaping up to be the least accessible to the public and the press in modern history.

At this point, the mainstream media is smarting due to inattention, actually, which could be adding to the rancor. Trump has not held a press conference since summer, and there has not been one mention of when he might hold a presser in the future. Previous president-elects have at least held press conferences. The Trump camp does not seem inclined to do so any time in the future.

Many of us out here on the fruited plain are anxious to actually see a Trump press conference once he’s in office. The media’s big word on administrations fawning over them is “transparency.” The complaints are already starting that Trump is setting up the least transparent administration in modern memory (they seem to forget Helen Thomas taking apart of Obama’s press secretaries on that score), and all the man wanted to do was take his family to dinner.









WebPage Visits



Comments"
0,http://dcgazette.com/2016/media-crying-trump-behavior/feed/,thedcgazette,Comments on: Trump’s Latest Move Has Media Pool Pouting,[],
0,http://dcgazette.com/2016/cops-sanctuary-cities-push-back-deportation/,thedcgazette,Cops In Key Sanctuary Cities Push Back Against The Donald On Deportation ⋆ Dc Gazette,"['A Resident Of Flyover Country', 'Cultural Limits Is A Rare Creature In American Conservatism - Committed To Not Just Small Government', 'Christianity', 'Traditional Social Roles', 'But Non-Profits', 'High Arts', 'Culture. Watching Politics', 'Observing Human Behavior', 'Writing Are All Long-Time Interests.', 'In Her Other Life']","One of the keystone issues of President-Elect Donald Trump’s campaign was the promise to deport illegal aliens who commit crimes in the United States. This should be a no brainer, but due to the concept of “sanctuary cities,” such people essentially can find asylum within the nation in any one of these locales – all run by Democrats, by the way.

On Tuesday, after President-Elect Trump once again reiterated the reality that criminal illegal aliens needed to be deported, the police chiefs in Denver and Los Angeles vowed not to cooperate with federal officials in turning over such people to be removed from the country.

Los Angeles Police Chief Charlie Beck said Monday that the force would not change its stance on immigration enforcement, the Los Angeles Times reported. The move is an apparent act of defiance against the president-elect’s promise to deport or imprison up to 3 million undocumented immigrants after his inauguration. Since 1979, the LAPD has barred officers from contacting people solely to investigate whether they are in the country legally, the LA Times noted. During Beck’s tenure, the department also stopped bringing suspects in minor crimes to federal authorities. “I don’t intend on doing anything different,” Beck told the newspaper. “We are not going to engage in law enforcement activities solely based on somebody’s immigration status. We are not going to work in conjunction with Homeland Security on deportation efforts. That is not our job, nor will I make it our job.”

Also defiant in the face of growing popular sentiment that violent criminals be deported, is the Denver Police Department:

“Immigration enforcement is handled at the federal level, not by local law enforcement,” Denver Police spokesman Doug Schepman said in a statement. “The Denver Police Department has not participated in those enforcement efforts in the past and will not be involved in the future.”

In order to find the illegal alien suspects of crime, federal law enforcement needs the cooperation of local officials. Local LEOs are the ones on the ground. Refusing to help the federal forces, the U.S. Marshalls Service and the FBI, may not go over very well. Trump also has threatened to revoke sanctuary city funding for the municipalities that refuse to cooperate.

Any way it’s sliced, this may not be all that smart a move on their parts.









Unique Hits



Comments"
0,http://dcgazette.com/2016/cops-sanctuary-cities-push-back-deportation/feed/,thedcgazette,Comments on: Cops In Key Sanctuary Cities Push Back Against The Donald On Deportation,[],
